uid,CAS No.,SMILES,Toxicity (mg/L),species,cid,Canonical_Smiles
2872,Sodium propionate,CCC(=O)[O-],4740.0,FHM,2872,No non-salt/solvate components
2917,"Octadecanoic acid, cadmium salt",CCCCCCCCCCCCCCCCCC(=O)[O-],0.006,RT,2917,No non-salt/solvate components
2952,"Copper, ((2,2',2''-nitrilotris(ethanolato))(2-)-N,O,O',O"")-",OCCN(CC[O-])CC[O-],0.026000000000000002,RT,2952,No non-salt/solvate components
3047,"2,4,5-TRICHLOROPHENOL",Oc1cc(Cl)c(Cl)cc1Cl,0.249,RT,3047,No non-salt/solvate components
3186,Potassium dodecanoate,CCCCCCCCCCCC(=O)[O-],1.3,RT,3186,No non-salt/solvate components
3299,Sodium dedecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-],4.2,RT,3299,No non-salt/solvate components
3431,Diethylamine,CCNCC,25.0,RT,3431,No non-salt/solvate components
3434,tert-Butylamine,CC(C)(C)N,28.0,RT,3434,No non-salt/solvate components
3453,Cyclohexylamine,NC1CCCCC1,44.0,RT,3453,No non-salt/solvate components
3460,Propionic acid,CCC(=O)O,51.0,RT,3460,No non-salt/solvate components
3506,Ethylene glycol monomethyl ether,COCCO,100.0,RT,3506,No non-salt/solvate components
3533,Picric acid,Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],109.6,RT,3533,No non-salt/solvate components
3553,L-Lactic acid,C[C@H](O)C(=O)O,130.0,RT,3553,No non-salt/solvate components
3562,Ethanolamine,NCCO,150.0,RT,3562,No non-salt/solvate components
3578,Potassium oleate,CCCCCCCCC=CCCCCCCCC(=O)[O-],260.0,RT,3578,No non-salt/solvate components
3777,Acetone,CC(=O)C,8000.0,RT,3777,No non-salt/solvate components
3778,Polypropylene glycol,CC(O)CO,10000.0,RT,3778,No non-salt/solvate components
3828,Diethanolamine,OCCNCCO,540.0,Sheepshead Minnow,3828,No non-salt/solvate components
3908,Sodium dedecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-],4.1,Sheepshead Minnow,3908,No non-salt/solvate components
3942,"2,4,5-TRICHLOROPHENOL",Oc1cc(Cl)c(Cl)cc1Cl,1.7,Sheepshead Minnow,3942,No non-salt/solvate components
32,1305-99-3,[Ca+2].[Ca+2].[Ca+2].[PH6-3].[PH6-3],0.000105,LP,32,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
97,15879-93-3,C(C([C@@H]1[C@@H]([C@@H]2 C(O1)O[C@@H](O2)C(Cl)(Cl)Cl)O)O)O,5.0,LP,97,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
188,12057-74-8,[Mg+2].[Mg+2].[Mg+2].[PH6-3].[PH6-3],0.0093,RT,188,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
283,131341-86-1,N#Cc3cncc3c1cccc2OC(F)(F)Oc12,0.23,RT,283,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
328,148-79-8,n2c1c(cccc1)nc2c3ncsc3,0.55,RT,328,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
354,74738-17-3,Clc1cccc(c1Cl)c2c(C#N)cnc2,0.8,RT,354,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
357,8001-54-5,c1(C[N+](C)(C)*)ccccc1.[ClH-],0.823,RT,357,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
379,7173-51-5,C([N+](CCCCCCCCCC)(C)C)CCCCCCCCC.[ClH-],1.16,RT,379,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
501,274671-61-3,c1c(ccc(COCC[NH+](CC)CC)c1)C.[ClH-],6.7,RT,501,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
543,56717-11-4,[N+]1(CCCCC1)(CC=C)CC[C@@H](CCCC(C)C)C.[BrH-],12.7,RT,543,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
549,1910-42-5,c1(c2cc[n+](C)cc2)cc[n+](C)cc1.[ClH-].[ClH-],15.0,RT,549,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
786,288-88-0,n1cnnc1,498.0,RT,786,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
798,61-82-5,n1cnnc1N,1000.0,RT,798,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
867,3878-19-1,n2c1c(cccc1)nc2c3occc3,0.91,RT,867,"No registered converter was able to produce a C++ rvalue of type class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > from this Python object of type NoneType"
